,LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
146,1223,OLDER SINGLES/COUPLES,Mainstream
147,1224,MIDAGE SINGLES/COUPLES,Mainstream
148,1225,YOUNG SINGLES/COUPLES,Budget
149,1226,OLDER FAMILIES,Budget
150,1228,MIDAGE SINGLES/COUPLES,Mainstream
151,1229,YOUNG SINGLES/COUPLES,Premium
152,1232,RETIREES,Mainstream
153,1233,YOUNG FAMILIES,Mainstream
154,1235,OLDER FAMILIES,Budget
155,1236,MIDAGE SINGLES/COUPLES,Mainstream
156,1238,OLDER SINGLES/COUPLES,Premium
157,1239,OLDER FAMILIES,Mainstream
158,1240,OLDER SINGLES/COUPLES,Premium
159,1241,RETIREES,Mainstream
160,1242,OLDER SINGLES/COUPLES,Budget
161,1243,YOUNG FAMILIES,Budget
162,1244,RETIREES,Budget
163,1246,YOUNG SINGLES/COUPLES,Mainstream
164,1247,RETIREES,Premium
165,1248,RETIREES,Budget
166,1250,OLDER FAMILIES,Budget
167,1254,RETIREES,Budget
168,1256,YOUNG FAMILIES,Mainstream
169,1257,MIDAGE SINGLES/COUPLES,Mainstream
170,1259,YOUNG FAMILIES,Premium
171,1262,RETIREES,Premium
172,1263,YOUNG SINGLES/COUPLES,Budget
173,1266,OLDER SINGLES/COUPLES,Mainstream
174,1267,YOUNG SINGLES/COUPLES,Mainstream
175,1270,RETIREES,Budget
176,1272,OLDER SINGLES/COUPLES,Premium
177,1273,YOUNG SINGLES/COUPLES,Mainstream
178,1274,RETIREES,Mainstream
179,1275,RETIREES,Mainstream
180,1276,MIDAGE SINGLES/COUPLES,Mainstream
181,1277,OLDER SINGLES/COUPLES,Premium
182,1278,NEW FAMILIES,Mainstream
183,1280,OLDER SINGLES/COUPLES,Budget
184,1281,OLDER FAMILIES,Budget
185,1282,YOUNG SINGLES/COUPLES,Budget
186,1283,OLDER FAMILIES,Budget
187,1284,YOUNG FAMILIES,Mainstream
188,1285,YOUNG SINGLES/COUPLES,Mainstream
189,1286,YOUNG SINGLES/COUPLES,Mainstream
190,1287,RETIREES,Mainstream
191,1288,OLDER FAMILIES,Budget
192,1289,YOUNG SINGLES/COUPLES,Premium
193,1290,RETIREES,Budget
194,1291,YOUNG SINGLES/COUPLES,Mainstream
195,1292,RETIREES,Premium
196,1293,OLDER SINGLES/COUPLES,Budget
197,1294,RETIREES,Budget
198,1297,YOUNG SINGLES/COUPLES,Mainstream
199,1298,YOUNG FAMILIES,Mainstream
200,1303,YOUNG SINGLES/COUPLES,Mainstream
201,1305,YOUNG SINGLES/COUPLES,Budget
202,1306,RETIREES,Budget
203,1307,MIDAGE SINGLES/COUPLES,Budget
204,1308,YOUNG SINGLES/COUPLES,Mainstream
205,1310,OLDER SINGLES/COUPLES,Budget
206,1312,OLDER SINGLES/COUPLES,Mainstream
207,1313,YOUNG SINGLES/COUPLES,Budget
208,1314,YOUNG SINGLES/COUPLES,Budget
209,1317,OLDER FAMILIES,Premium
210,1318,NEW FAMILIES,Mainstream
211,1320,YOUNG SINGLES/COUPLES,Premium
212,1324,YOUNG SINGLES/COUPLES,Budget
213,1326,RETIREES,Mainstream
214,1327,RETIREES,Mainstream
215,1330,RETIREES,Premium
216,1333,NEW FAMILIES,Budget
217,1335,YOUNG SINGLES/COUPLES,Budget
218,1336,RETIREES,Budget
219,1337,RETIREES,Mainstream
220,1338,YOUNG SINGLES/COUPLES,Mainstream
221,1339,OLDER FAMILIES,Premium
222,1341,YOUNG FAMILIES,Mainstream
223,1342,RETIREES,Mainstream
224,1343,MIDAGE SINGLES/COUPLES,Budget
225,1345,OLDER SINGLES/COUPLES,Mainstream
226,1346,YOUNG SINGLES/COUPLES,Mainstream
227,1347,RETIREES,Mainstream
228,1348,MIDAGE SINGLES/COUPLES,Budget
229,1349,OLDER SINGLES/COUPLES,Budget
230,1350,OLDER FAMILIES,Budget
231,1351,YOUNG SINGLES/COUPLES,Budget
232,1352,OLDER SINGLES/COUPLES,Mainstream
233,1353,YOUNG SINGLES/COUPLES,Mainstream
234,1354,OLDER SINGLES/COUPLES,Budget
235,1355,MIDAGE SINGLES/COUPLES,Premium
236,1356,OLDER FAMILIES,Premium
237,1357,OLDER SINGLES/COUPLES,Budget
238,1358,OLDER FAMILIES,Mainstream
239,1359,YOUNG SINGLES/COUPLES,Mainstream
240,1360,YOUNG SINGLES/COUPLES,Mainstream
241,1361,RETIREES,Budget
242,1362,OLDER FAMILIES,Mainstream
243,1363,YOUNG FAMILIES,Budget
244,1364,RETIREES,Premium
245,1365,RETIREES,Mainstream
246,1366,MIDAGE SINGLES/COUPLES,Premium
247,1367,OLDER FAMILIES,Budget
248,1369,NEW FAMILIES,Premium
249,1370,NEW FAMILIES,Budget
250,1373,OLDER FAMILIES,Budget
251,1374,MIDAGE SINGLES/COUPLES,Premium
252,1375,OLDER SINGLES/COUPLES,Premium
253,1376,RETIREES,Mainstream
254,1377,OLDER SINGLES/COUPLES,Premium
255,1378,OLDER SINGLES/COUPLES,Premium
256,1380,YOUNG SINGLES/COUPLES,Premium
257,1383,YOUNG SINGLES/COUPLES,Mainstream
258,1384,YOUNG SINGLES/COUPLES,Budget
259,1385,YOUNG SINGLES/COUPLES,Budget
260,1386,OLDER SINGLES/COUPLES,Mainstream
261,1390,YOUNG FAMILIES,Premium
262,1392,YOUNG FAMILIES,Budget
263,1394,YOUNG SINGLES/COUPLES,Mainstream
264,1395,MIDAGE SINGLES/COUPLES,Budget
265,1396,MIDAGE SINGLES/COUPLES,Premium
266,1397,YOUNG SINGLES/COUPLES,Mainstream
267,1399,MIDAGE SINGLES/COUPLES,Premium
268,1400,RETIREES,Premium
269,1401,NEW FAMILIES,Premium
270,1402,YOUNG SINGLES/COUPLES,Mainstream
271,1403,YOUNG FAMILIES,Budget
272,1404,OLDER SINGLES/COUPLES,Mainstream
273,1406,OLDER SINGLES/COUPLES,Premium
274,1407,MIDAGE SINGLES/COUPLES,Mainstream
275,1408,RETIREES,Mainstream
276,1409,YOUNG SINGLES/COUPLES,Mainstream
277,1410,RETIREES,Budget
278,1411,MIDAGE SINGLES/COUPLES,Budget
279,1412,OLDER FAMILIES,Mainstream
280,1413,OLDER FAMILIES,Budget
281,1414,RETIREES,Mainstream
282,1415,YOUNG SINGLES/COUPLES,Mainstream
283,1417,YOUNG SINGLES/COUPLES,Mainstream
284,1418,MIDAGE SINGLES/COUPLES,Premium
285,1419,YOUNG FAMILIES,Budget
286,1420,OLDER FAMILIES,Mainstream
287,1421,YOUNG SINGLES/COUPLES,Premium
288,1422,MIDAGE SINGLES/COUPLES,Mainstream
289,1423,YOUNG SINGLES/COUPLES,Mainstream
290,1424,RETIREES,Budget
291,1425,YOUNG SINGLES/COUPLES,Mainstream
292,1429,YOUNG SINGLES/COUPLES,Budget
293,1430,YOUNG FAMILIES,Premium
294,1431,RETIREES,Budget
295,1433,NEW FAMILIES,Budget
296,1434,YOUNG SINGLES/COUPLES,Mainstream
297,1436,YOUNG FAMILIES,Premium
298,1437,NEW FAMILIES,Premium
299,1438,NEW FAMILIES,Mainstream
300,1439,YOUNG FAMILIES,Premium
301,1440,RETIREES,Mainstream
302,1443,YOUNG FAMILIES,Budget
303,1444,YOUNG SINGLES/COUPLES,Mainstream
304,1446,OLDER FAMILIES,Premium
305,1448,OLDER FAMILIES,Budget
306,1450,YOUNG SINGLES/COUPLES,Mainstream
307,1451,MIDAGE SINGLES/COUPLES,Mainstream
308,1452,OLDER FAMILIES,Budget
309,1453,YOUNG SINGLES/COUPLES,Premium
310,1454,OLDER SINGLES/COUPLES,Mainstream
311,1455,YOUNG SINGLES/COUPLES,Mainstream
312,1456,OLDER FAMILIES,Budget
313,1457,YOUNG SINGLES/COUPLES,Budget
314,1459,OLDER FAMILIES,Budget
315,1460,YOUNG SINGLES/COUPLES,Premium
316,1461,RETIREES,Mainstream
317,1462,YOUNG SINGLES/COUPLES,Premium
318,1463,RETIREES,Mainstream
319,1464,OLDER FAMILIES,Budget
320,1465,YOUNG SINGLES/COUPLES,Mainstream
321,1467,OLDER SINGLES/COUPLES,Mainstream
322,1468,YOUNG SINGLES/COUPLES,Budget
323,1470,OLDER FAMILIES,Mainstream
324,1471,YOUNG FAMILIES,Mainstream
325,1473,RETIREES,Mainstream
326,1474,OLDER FAMILIES,Budget
327,1475,MIDAGE SINGLES/COUPLES,Budget
328,1477,OLDER FAMILIES,Premium
329,1478,YOUNG SINGLES/COUPLES,Budget
330,1480,OLDER SINGLES/COUPLES,Premium
331,1482,YOUNG SINGLES/COUPLES,Mainstream
332,1484,YOUNG SINGLES/COUPLES,Budget
333,1485,MIDAGE SINGLES/COUPLES,Premium
334,1486,OLDER FAMILIES,Budget
335,1487,YOUNG SINGLES/COUPLES,Budget
336,1488,OLDER SINGLES/COUPLES,Budget
337,1489,RETIREES,Budget
338,1490,YOUNG SINGLES/COUPLES,Mainstream
339,1491,MIDAGE SINGLES/COUPLES,Budget
340,1494,YOUNG SINGLES/COUPLES,Budget
341,1495,MIDAGE SINGLES/COUPLES,Budget
342,1501,RETIREES,Mainstream
343,1502,YOUNG FAMILIES,Mainstream
344,1504,OLDER FAMILIES,Budget
345,2000,NEW FAMILIES,Mainstream
346,2001,YOUNG SINGLES/COUPLES,Budget
347,2002,RETIREES,Mainstream
348,2003,NEW FAMILIES,Premium
349,2004,YOUNG FAMILIES,Budget
350,2006,OLDER FAMILIES,Mainstream
351,2008,YOUNG SINGLES/COUPLES,Budget
352,2010,NEW FAMILIES,Premium
353,2012,MIDAGE SINGLES/COUPLES,Mainstream
354,2013,RETIREES,Mainstream
355,2015,YOUNG FAMILIES,Premium
356,2017,OLDER FAMILIES,Budget
357,2018,OLDER SINGLES/COUPLES,Mainstream
358,2019,YOUNG SINGLES/COUPLES,Budget
359,2020,RETIREES,Premium
360,2022,MIDAGE SINGLES/COUPLES,Premium
361,2023,RETIREES,Mainstream
362,2024,YOUNG SINGLES/COUPLES,Budget
363,2025,RETIREES,Premium
364,2026,YOUNG SINGLES/COUPLES,Mainstream
365,2027,RETIREES,Budget
366,2030,RETIREES,Premium
367,2032,YOUNG SINGLES/COUPLES,Mainstream
368,2033,YOUNG SINGLES/COUPLES,Premium
369,2034,YOUNG SINGLES/COUPLES,Budget
370,2035,MIDAGE SINGLES/COUPLES,Mainstream
371,2036,NEW FAMILIES,Premium
372,2038,YOUNG SINGLES/COUPLES,Mainstream
373,2040,RETIREES,Mainstream
374,2041,OLDER SINGLES/COUPLES,Premium
375,2042,YOUNG SINGLES/COUPLES,Premium
376,2043,OLDER FAMILIES,Budget
377,2044,RETIREES,Premium
378,2045,YOUNG SINGLES/COUPLES,Budget
379,2047,YOUNG SINGLES/COUPLES,Budget
380,2048,NEW FAMILIES,Mainstream
381,2049,YOUNG SINGLES/COUPLES,Premium
382,2050,YOUNG FAMILIES,Mainstream
383,2051,OLDER SINGLES/COUPLES,Mainstream
384,2052,YOUNG SINGLES/COUPLES,Mainstream
385,2053,NEW FAMILIES,Mainstream
386,2055,YOUNG FAMILIES,Budget
387,2056,RETIREES,Budget
388,2058,MIDAGE SINGLES/COUPLES,Mainstream
389,2059,YOUNG FAMILIES,Budget
390,2060,YOUNG SINGLES/COUPLES,Mainstream
391,2069,YOUNG SINGLES/COUPLES,Budget
392,2071,YOUNG SINGLES/COUPLES,Budget
393,2074,RETIREES,Mainstream
394,2080,YOUNG SINGLES/COUPLES,Budget
395,2081,RETIREES,Mainstream
396,2082,OLDER FAMILIES,Mainstream
397,2083,RETIREES,Mainstream
398,2084,YOUNG SINGLES/COUPLES,Mainstream
399,2086,RETIREES,Budget
400,2088,YOUNG SINGLES/COUPLES,Budget
401,2089,OLDER SINGLES/COUPLES,Budget
402,2090,OLDER SINGLES/COUPLES,Budget
403,2091,YOUNG SINGLES/COUPLES,Premium
404,2093,OLDER SINGLES/COUPLES,Mainstream
405,2095,OLDER SINGLES/COUPLES,Premium
406,2096,RETIREES,Budget
407,2097,OLDER SINGLES/COUPLES,Mainstream
408,2098,RETIREES,Mainstream
409,2100,YOUNG SINGLES/COUPLES,Mainstream
410,2101,OLDER SINGLES/COUPLES,Mainstream
411,2102,YOUNG SINGLES/COUPLES,Budget
412,2103,OLDER FAMILIES,Mainstream
413,2104,YOUNG SINGLES/COUPLES,Premium
414,2105,YOUNG SINGLES/COUPLES,Mainstream
415,2106,YOUNG SINGLES/COUPLES,Premium
416,2107,YOUNG FAMILIES,Mainstream
417,2112,RETIREES,Mainstream
418,2113,YOUNG FAMILIES,Budget
419,2114,YOUNG FAMILIES,Budget
420,2116,YOUNG SINGLES/COUPLES,Budget
421,2117,OLDER FAMILIES,Mainstream
422,2119,YOUNG SINGLES/COUPLES,Budget
423,2120,OLDER SINGLES/COUPLES,Premium
424,2121,YOUNG SINGLES/COUPLES,Mainstream
425,2122,YOUNG SINGLES/COUPLES,Premium
426,2123,OLDER SINGLES/COUPLES,Budget
427,2125,RETIREES,Mainstream
428,2129,YOUNG SINGLES/COUPLES,Mainstream
429,2130,OLDER FAMILIES,Budget
430,2131,YOUNG SINGLES/COUPLES,Mainstream
431,2133,OLDER FAMILIES,Budget
432,2135,RETIREES,Mainstream
433,2136,OLDER SINGLES/COUPLES,Premium
434,2139,MIDAGE SINGLES/COUPLES,Premium
435,2141,YOUNG SINGLES/COUPLES,Budget
436,2143,OLDER SINGLES/COUPLES,Mainstream
437,2144,OLDER SINGLES/COUPLES,Budget
438,2146,OLDER FAMILIES,Premium
439,2147,OLDER SINGLES/COUPLES,Premium
440,2148,RETIREES,Budget
441,2149,RETIREES,Budget
442,2150,RETIREES,Budget
443,2153,YOUNG SINGLES/COUPLES,Budget
444,2154,OLDER SINGLES/COUPLES,Mainstream
445,2155,YOUNG SINGLES/COUPLES,Budget
446,2161,YOUNG SINGLES/COUPLES,Mainstream
447,2163,OLDER FAMILIES,Premium
448,2164,YOUNG SINGLES/COUPLES,Mainstream
449,2166,OLDER SINGLES/COUPLES,Premium
450,2167,OLDER SINGLES/COUPLES,Mainstream
451,2168,OLDER SINGLES/COUPLES,Mainstream
452,2169,YOUNG SINGLES/COUPLES,Premium
453,2170,YOUNG SINGLES/COUPLES,Mainstream
454,2172,OLDER FAMILIES,Premium
455,2173,OLDER FAMILIES,Budget
456,2175,OLDER SINGLES/COUPLES,Mainstream
457,2176,YOUNG SINGLES/COUPLES,Mainstream
458,2178,OLDER SINGLES/COUPLES,Mainstream
459,2180,YOUNG FAMILIES,Budget
460,2181,YOUNG SINGLES/COUPLES,Mainstream
461,2182,OLDER SINGLES/COUPLES,Premium
462,2183,OLDER FAMILIES,Mainstream
463,2184,YOUNG SINGLES/COUPLES,Mainstream
464,2185,YOUNG FAMILIES,Budget
465,2186,OLDER FAMILIES,Mainstream
466,2188,YOUNG SINGLES/COUPLES,Mainstream
467,2190,YOUNG SINGLES/COUPLES,Mainstream
468,2191,OLDER FAMILIES,Budget
469,2194,MIDAGE SINGLES/COUPLES,Premium
470,2196,YOUNG FAMILIES,Budget
471,2198,MIDAGE SINGLES/COUPLES,Mainstream
472,2199,OLDER SINGLES/COUPLES,Mainstream
473,2200,RETIREES,Budget
474,2202,YOUNG SINGLES/COUPLES,Budget
475,2203,MIDAGE SINGLES/COUPLES,Budget
476,2205,RETIREES,Mainstream
477,2210,YOUNG SINGLES/COUPLES,Mainstream
478,2211,OLDER SINGLES/COUPLES,Budget
479,2214,OLDER SINGLES/COUPLES,Mainstream
480,2216,OLDER SINGLES/COUPLES,Premium
481,2217,RETIREES,Mainstream
482,2218,YOUNG SINGLES/COUPLES,Budget
483,2219,OLDER SINGLES/COUPLES,Budget
484,2220,OLDER FAMILIES,Budget
485,2222,MIDAGE SINGLES/COUPLES,Mainstream
486,2223,NEW FAMILIES,Premium
487,2224,YOUNG SINGLES/COUPLES,Mainstream
488,2225,MIDAGE SINGLES/COUPLES,Mainstream
489,2226,OLDER FAMILIES,Budget
490,2227,RETIREES,Mainstream
491,2230,RETIREES,Premium
492,2231,MIDAGE SINGLES/COUPLES,Premium
493,2232,MIDAGE SINGLES/COUPLES,Mainstream
494,2233,OLDER SINGLES/COUPLES,Budget
495,2234,NEW FAMILIES,Mainstream
496,2236,OLDER SINGLES/COUPLES,Budget
497,2237,YOUNG SINGLES/COUPLES,Mainstream
498,2238,RETIREES,Mainstream
499,2240,OLDER SINGLES/COUPLES,Budget
500,2242,OLDER SINGLES/COUPLES,Budget
501,2244,YOUNG SINGLES/COUPLES,Budget
502,2245,OLDER FAMILIES,Budget
503,2246,MIDAGE SINGLES/COUPLES,Premium
504,2247,YOUNG SINGLES/COUPLES,Premium
505,2248,RETIREES,Mainstream
506,2250,YOUNG SINGLES/COUPLES,Mainstream
507,2253,RETIREES,Budget
508,2254,YOUNG SINGLES/COUPLES,Mainstream
509,2255,OLDER SINGLES/COUPLES,Budget
510,2256,MIDAGE SINGLES/COUPLES,Budget
511,2257,OLDER SINGLES/COUPLES,Premium
512,2258,OLDER FAMILIES,Budget
513,2259,YOUNG FAMILIES,Premium
514,2260,YOUNG FAMILIES,Mainstream
515,2262,YOUNG SINGLES/COUPLES,Premium
516,2265,RETIREES,Budget
517,2270,YOUNG SINGLES/COUPLES,Budget
518,2272,YOUNG SINGLES/COUPLES,Budget
519,2273,YOUNG SINGLES/COUPLES,Mainstream
520,2274,YOUNG FAMILIES,Mainstream
521,2277,YOUNG SINGLES/COUPLES,Mainstream
522,2278,RETIREES,Premium
523,2279,OLDER SINGLES/COUPLES,Premium
524,2280,OLDER SINGLES/COUPLES,Premium
525,2281,RETIREES,Mainstream
526,2283,RETIREES,Budget
527,2285,YOUNG SINGLES/COUPLES,Mainstream
528,2286,YOUNG SINGLES/COUPLES,Premium
529,2287,RETIREES,Mainstream
530,2288,YOUNG SINGLES/COUPLES,Mainstream
531,2292,YOUNG FAMILIES,Budget
532,2294,MIDAGE SINGLES/COUPLES,Mainstream
533,2295,YOUNG SINGLES/COUPLES,Premium
534,2298,RETIREES,Mainstream
535,2302,RETIREES,Mainstream
536,2303,RETIREES,Mainstream
537,2304,OLDER SINGLES/COUPLES,Budget
538,2305,RETIREES,Premium
539,2309,OLDER SINGLES/COUPLES,Budget
540,2310,OLDER FAMILIES,Budget
541,2311,NEW FAMILIES,Mainstream
542,2313,MIDAGE SINGLES/COUPLES,Premium
543,2315,YOUNG SINGLES/COUPLES,Mainstream
544,2319,MIDAGE SINGLES/COUPLES,Premium
545,2320,YOUNG SINGLES/COUPLES,Premium
546,2323,YOUNG FAMILIES,Budget
547,2324,YOUNG SINGLES/COUPLES,Premium
548,2326,RETIREES,Budget
549,2327,YOUNG SINGLES/COUPLES,Mainstream
550,2328,YOUNG FAMILIES,Budget
551,2330,YOUNG SINGLES/COUPLES,Premium
552,2331,YOUNG SINGLES/COUPLES,Budget
553,2332,YOUNG SINGLES/COUPLES,Mainstream
554,2335,RETIREES,Budget
555,2339,OLDER SINGLES/COUPLES,Premium
556,2340,OLDER SINGLES/COUPLES,Mainstream
557,2342,OLDER SINGLES/COUPLES,Mainstream
558,2344,OLDER SINGLES/COUPLES,Premium
559,2345,OLDER FAMILIES,Premium
560,2346,OLDER FAMILIES,Premium
561,2347,YOUNG SINGLES/COUPLES,Budget
562,2348,OLDER SINGLES/COUPLES,Budget
563,2349,YOUNG SINGLES/COUPLES,Mainstream
564,2353,RETIREES,Mainstream
565,2354,RETIREES,Budget
566,2356,RETIREES,Premium
567,2358,YOUNG FAMILIES,Mainstream
568,2361,OLDER FAMILIES,Mainstream
569,2362,OLDER SINGLES/COUPLES,Premium
570,2363,YOUNG FAMILIES,Budget
571,2364,OLDER FAMILIES,Mainstream
572,2365,RETIREES,Mainstream
573,2367,OLDER SINGLES/COUPLES,Mainstream
574,2368,MIDAGE SINGLES/COUPLES,Mainstream
575,2369,YOUNG SINGLES/COUPLES,Mainstream
576,2370,YOUNG FAMILIES,Budget
577,2371,OLDER SINGLES/COUPLES,Budget
578,2372,NEW FAMILIES,Budget
579,2373,MIDAGE SINGLES/COUPLES,Budget
580,2375,RETIREES,Mainstream
581,2376,OLDER SINGLES/COUPLES,Budget
582,2377,YOUNG SINGLES/COUPLES,Budget
583,2378,OLDER SINGLES/COUPLES,Premium
584,2380,OLDER FAMILIES,Mainstream
585,2381,OLDER SINGLES/COUPLES,Budget
586,2382,MIDAGE SINGLES/COUPLES,Premium
587,2383,YOUNG FAMILIES,Budget
588,2384,MIDAGE SINGLES/COUPLES,Mainstream
589,2385,YOUNG FAMILIES,Premium
590,2386,MIDAGE SINGLES/COUPLES,Budget
591,2387,NEW FAMILIES,Mainstream
592,2389,MIDAGE SINGLES/COUPLES,Budget
593,2394,RETIREES,Mainstream
594,2395,YOUNG FAMILIES,Premium
595,2396,RETIREES,Budget
596,2398,RETIREES,Mainstream
597,2399,YOUNG FAMILIES,Budget
598,2400,YOUNG SINGLES/COUPLES,Mainstream
599,2401,OLDER SINGLES/COUPLES,Mainstream
600,2402,YOUNG FAMILIES,Budget
601,2404,OLDER SINGLES/COUPLES,Premium
602,2409,OLDER SINGLES/COUPLES,Mainstream
